Kabupaten_Kota,Provinsi,Jenis_Daging,Tahun,Konsumsi_per_Minggu_dalam_Kg,Pengeluaran_per_Minggu_dalam_IDR
Jeneponto,Sulawesi Selatan,Daging sapi,2021,,49.38
Takalar,Sulawesi Selatan,Daging sapi,2021,0.002,236.86
Gowa,Sulawesi Selatan,Daging sapi,2021,0.002,183.85
Sinjai,Sulawesi Selatan,Daging sapi,2021,0.006,701.4
Maros,Sulawesi Selatan,Daging sapi,2021,0.002,217.93
Pangkajene dan Kepulauan,Sulawesi Selatan,Daging sapi,2021,0.002,173.83
Barru,Sulawesi Selatan,Daging sapi,2021,0.002,251.6
Bone,Sulawesi Selatan,Daging sapi,2021,0.001,138.97
Soppeng,Sulawesi Selatan,Daging sapi,2021,0.004,470.15
Wajo,Sulawesi Selatan,Daging sapi,2021,0.001,162.9
Sidenreng Rappang,Sulawesi Selatan,Daging sapi,2021,0.006,419.21
Pinrang,Sulawesi Selatan,Daging sapi,2021,0.002,176.28
Enrekang,Sulawesi Selatan,Daging sapi,2021,0.004,393.15
Luwu,Sulawesi Selatan,Daging sapi,2021,0.005,582.48
Tana Toraja,Sulawesi Selatan,Daging sapi,2021,0.005,554.96
Luwu Utara,Sulawesi Selatan,Daging sapi,2021,0.004,424.1
Luwu Timur,Sulawesi Selatan,Daging sapi,2021,0.007,750.38
Toraja Utara,Sulawesi Selatan,Daging sapi,2021,,18.79
Kota Makasar,Sulawesi Selatan,Daging sapi,2021,0.01,1075.32
Kota Parepare,Sulawesi Selatan,Daging sapi,2021,0.004,471.88
Kota Palopo,Sulawesi Selatan,Daging sapi,2021,0.003,309.64
Buton,Sulawesi Tenggara,Daging sapi,2021,0.001,103.43
Muna,Sulawesi Tenggara,Daging sapi,2021,,23.97
Konawe,Sulawesi Tenggara,Daging sapi,2021,0.01,1253.89
Kolaka,Sulawesi Tenggara,Daging sapi,2021,0.009,1109
Konawe Selatan,Sulawesi Tenggara,Daging sapi,2021,0.001,125.31
Bombana,Sulawesi Tenggara,Daging sapi,2021,0.002,286.98
Wakatobi,Sulawesi Tenggara,Daging sapi,2021,,
Kolaka Utara,Sulawesi Tenggara,Daging sapi,2021,0.001,165.54
Buton Utara,Sulawesi Tenggara,Daging sapi,2021,,29.26
Konawe Utara,Sulawesi Tenggara,Daging sapi,2021,0.005,559.58
Kolaka Timur,Sulawesi Tenggara,Daging sapi,2021,0.002,280.19
Konawe Kepulauan,Sulawesi Tenggara,Daging sapi,2021,0.001,151.95
Muna Barat,Sulawesi Tenggara,Daging sapi,2021,0.001,129.9
Buton Tengah,Sulawesi Tenggara,Daging sapi,2021,,9.94
Buton Selatan,Sulawesi Tenggara,Daging sapi,2021,,
Kota Kendari,Sulawesi Tenggara,Daging sapi,2021,0.005,663.29
Kota Baubau,Sulawesi Tenggara,Daging sapi,2021,0.001,87.73
Boalemo,Gorontalo,Daging sapi,2021,0.005,598.57
Gorontalo,Gorontalo,Daging sapi,2021,0.008,887.7
Pohuwato,Gorontalo,Daging sapi,2021,0.006,801.92
Bone Bolango,Gorontalo,Daging sapi,2021,0.004,477.74
Gorontalo Utara,Gorontalo,Daging sapi,2021,0.003,383.58
Kota Gorontalo,Gorontalo,Daging sapi,2021,0.006,615.91
Majene,Sulawesi Barat,Daging sapi,2021,,40.21
Polewali Mandar,Sulawesi Barat,Daging sapi,2021,0.001,89.59
Mamasa,Sulawesi Barat,Daging sapi,2021,0.001,111.09
Mamuju,Sulawesi Barat,Daging sapi,2021,0.001,99.33
Mamuju Utara,Sulawesi Barat,Daging sapi,2021,0.002,195.6
Mamuju Tengah,Sulawesi Barat,Daging sapi,2021,0.002,223.37
Maluku Tenggara Barat,Maluku,Daging sapi,2021,0.001,152.31
Maluku Tenggara,Maluku,Daging sapi,2021,,
Maluku Tengah,Maluku,Daging sapi,2021,0.001,104.72
Buru,Maluku,Daging sapi,2021,0.003,246.28
Kepulauan Aru,Maluku,Daging sapi,2021,0.001,137.71
Seram Bagian Barat,Maluku,Daging sapi,2021,,0.77
Seram Bagian Timur,Maluku,Daging sapi,2021,0.005,254.38
Maluku Barat Daya,Maluku,Daging sapi,2021,0.001,49.04
Buru Selatan,Maluku,Daging sapi,2021,0.002,152.73
Kota Ambon,Maluku,Daging sapi,2021,0.003,330.3
Kota Tual,Maluku,Daging sapi,2021,,
Halmahera Barat,Maluku Utara,Daging sapi,2021,0.003,317.53
Halmahera Tengah,Maluku Utara,Daging sapi,2021,0.001,108.46
Kepulauan Sula,Maluku Utara,Daging sapi,2021,,12.39
Halmahera Selatan,Maluku Utara,Daging sapi,2021,,19.14
Halmahera Utara,Maluku Utara,Daging sapi,2021,0.004,478.29
Halmahera Timur,Maluku Utara,Daging sapi,2021,0.005,454.24
Pulau Morotai,Maluku Utara,Daging sapi,2021,0.003,203.74
Pulau Taliabu,Maluku Utara,Daging sapi,2021,,33.09
Kota Ternate,Maluku Utara,Daging sapi,2021,0.003,322.03
Kota Tidore Kepulauan,Maluku Utara,Daging sapi,2021,0.001,136.56
Fakfak,Papua Barat,Daging sapi,2021,0.001,114.23
Kaimana,Papua Barat,Daging sapi,2021,0.004,421.83
Teluk Wondama,Papua Barat,Daging sapi,2021,,
Teluk Bintuni,Papua Barat,Daging sapi,2021,0.008,935.04
Manokwari,Papua Barat,Daging sapi,2021,0.008,1048.31
Manokwari Selatan,Papua Barat,Daging sapi,2021,0.004,530.1
Pegunungan Arfak,Papua Barat,Daging sapi,2021,0.001,88.31
Raja Ampat,Papua Barat,Daging sapi,2021,,53.72
Sorong,Papua Barat,Daging sapi,2021,0.005,647.4
Sorong Selatan,Papua Barat,Daging sapi,2021,0.004,556.89
Maybrat,Papua Barat,Daging sapi,2021,,44.67
Tambrauw,Papua Barat,Daging sapi,2021,0.001,73.82
Kota Sorong,Papua Barat,Daging sapi,2021,0.005,587.12
Jayapura,Papua,Daging sapi,2021,0.003,533.7
Kepulauan Yapen,Papua,Daging sapi,2021,0.004,696.82
Biak Numfor,Papua,Daging sapi,2021,0.003,311.42
Sarmi,Papua,Daging sapi,2021,0.004,339.05
Keerom,Papua,Daging sapi,2021,0.003,383.37
Waropen,Papua,Daging sapi,2021,0.006,646.42
Supiori,Papua,Daging sapi,2021,,
Mamberamo Raya,Papua,Daging sapi,2021,,
Kota Jayapura,Papua,Daging sapi,2021,0.007,897.23
Merauke,Papua,Daging sapi,2021,0.009,873.66
Boven Digoel,Papua,Daging sapi,2021,0.005,450.11
Mappi,Papua,Daging sapi,2021,,
Asmat,Papua,Daging sapi,2021,0.001,108.67
Mimika,Papua,Daging sapi,2021,0.006,585.78
Dogiyai,Papua,Daging sapi,2021,0.005,481.71
Deiyai,Papua,Daging sapi,2021,,
Nabire,Papua,Daging sapi,2021,0.011,1889.32
Paniai,Papua,Daging sapi,2021,,
Intan Jaya,Papua,Daging sapi,2021,,
Puncak,Papua,Daging sapi,2021,,36.15
Puncak Jaya,Papua,Daging sapi,2021,,
Nduga,Papua,Daging sapi,2021,,72.41
Jayawijaya,Papua,Daging sapi,2021,0.005,792.22
Lanny Jaya,Papua,Daging sapi,2021,,
Tolikara,Papua,Daging sapi,2021,,
Mamberamo Tengah,Papua,Daging sapi,2021,,7.74
Yalimo,Papua,Daging sapi,2021,0.001,107.22
Yahukimo,Papua,Daging sapi,2021,,53.12
Pegunungan Bintang,Papua,Daging sapi,2021,0.002,376.67
Simeulue,Aceh,Daging ayam ras,2021,0.011,535.69
Aceh Singkil,Aceh,Daging ayam ras,2021,0.072,2903.9
Aceh Selatan,Aceh,Daging ayam ras,2021,0.035,1040.45
Aceh Tenggara,Aceh,Daging ayam ras,2021,0.105,3228.9
Aceh Timur,Aceh,Daging ayam ras,2021,0.062,1491.11
Aceh Tengah,Aceh,Daging ayam ras,2021,0.091,2602.05
Aceh Barat,Aceh,Daging ayam ras,2021,0.083,2911.76
Aceh Besar,Aceh,Daging ayam ras,2021,0.059,2297.75
Pidie,Aceh,Daging ayam ras,2021,0.058,1657.9
Bireuen,Aceh,Daging ayam ras,2021,0.075,2143.08
Aceh Utara,Aceh,Daging ayam ras,2021,0.068,1656.6
Aceh Barat Daya,Aceh,Daging ayam ras,2021,0.06,1780.65
Gayo Lues,Aceh,Daging ayam ras,2021,0.173,6323.64
Aceh Tamiang,Aceh,Daging ayam ras,2021,0.074,1658.38
Nagan Raya,Aceh,Daging ayam ras,2021,0.102,3440.92
Aceh Jaya,Aceh,Daging ayam ras,2021,0.066,2080.33
Bener Meriah,Aceh,Daging ayam ras,2021,0.061,1920.54
Pidie Jaya,Aceh,Daging ayam ras,2021,0.086,1968.81
Kota Banda Aceh,Aceh,Daging ayam ras,2021,0.163,4472.16
Kota Sabang,Aceh,Daging ayam ras,2021,0.088,2787.94
Kota Langsa,Aceh,Daging ayam ras,2021,0.086,2074.48
Kota Lhokseumawe,Aceh,Daging ayam ras,2021,0.089,2696.36
Kota Subulussalam,Aceh,Daging ayam ras,2021,0.072,2397.74
Nias,Sumatera Utara,Daging ayam ras,2021,0.101,3175.72
Mandailing Natal,Sumatera Utara,Daging ayam ras,2021,0.058,2004
Tapanuli Selatan,Sumatera Utara,Daging ayam ras,2021,0.104,3660.59
Tapanuli Tengah,Sumatera Utara,Daging ayam ras,2021,0.046,1295.76
Tapanuli Utara,Sumatera Utara,Daging ayam ras,2021,0.06,2169.7
Toba Samosir,Sumatera Utara,Daging ayam ras,2021,0.063,2288.71
Labuhan Batu,Sumatera Utara,Daging ayam ras,2021,0.087,2595.36
Asahan,Sumatera Utara,Daging ayam ras,2021,0.097,2428.04
Simalungun,Sumatera Utara,Daging ayam ras,2021,0.098,2684.16
Dairi,Sumatera Utara,Daging ayam ras,2021,0.042,1814.01
Karo,Sumatera Utara,Daging ayam ras,2021,0.11,3787.66
Deli Serdang,Sumatera Utara,Daging ayam ras,2021,0.153,4062.97
Langkat,Sumatera Utara,Daging ayam ras,2021,0.079,2098.98
Nias Selatan,Sumatera Utara,Daging ayam ras,2021,0.12,3920.37
Humbang Hasundutan,Sumatera Utara,Daging ayam ras,2021,0.039,1611.04
Pakpak Bharat,Sumatera Utara,Daging ayam ras,2021,0.042,1619.07
Samosir,Sumatera Utara,Daging ayam ras,2021,0.025,981.39
Serdang Bedagai,Sumatera Utara,Daging ayam ras,2021,0.079,1980.38
Batu Bara,Sumatera Utara,Daging ayam ras,2021,0.072,1978.41
Padang Lawas Utara,Sumatera Utara,Daging ayam ras,2021,0.071,2311.9
Padang Lawas,Sumatera Utara,Daging ayam ras,2021,0.088,3000.06
Labuhan Batu Selatan,Sumatera Utara,Daging ayam ras,2021,0.111,3282.44
Labuhan Batu Utara,Sumatera Utara,Daging ayam ras,2021,0.08,2218.03
Nias Utara,Sumatera Utara,Daging ayam ras,2021,0.106,3246.16
Nias Barat,Sumatera Utara,Daging ayam ras,2021,0.075,2364.12
Kota Sibolga,Sumatera Utara,Daging ayam ras,2021,0.061,1699.33
Kota Tanjung Balai,Sumatera Utara,Daging ayam ras,2021,0.103,3071.72
Kota Pematang Siantar,Sumatera Utara,Daging ayam ras,2021,0.106,2832.82
Kota Tebing Tinggi,Sumatera Utara,Daging ayam ras,2021,0.144,3129.64
Kota Medan,Sumatera Utara,Daging ayam ras,2021,0.174,4893.39
Kota Binjai,Sumatera Utara,Daging ayam ras,2021,0.115,3412.03
Kota Padangsidimpuan,Sumatera Utara,Daging ayam ras,2021,0.089,2947.94
Kota Gunungsitoli,Sumatera Utara,Daging ayam ras,2021,0.109,3051.07
Kepulauan Mentawai,Sumatera Barat,Daging ayam ras,2021,0.035,1814.05
Pesisir Selatan,Sumatera Barat,Daging ayam ras,2021,0.07,2224.35
Solok,Sumatera Barat,Daging ayam ras,2021,0.144,4761.62
Sijunjung,Sumatera Barat,Daging ayam ras,2021,0.096,3809.2
Tanah Datar,Sumatera Barat,Daging ayam ras,2021,0.16,4099.19
Padang Pariaman,Sumatera Barat,Daging ayam ras,2021,0.1,3081.07
Agam,Sumatera Barat,Daging ayam ras,2021,0.118,4036.99
Lima Puluh Kota,Sumatera Barat,Daging ayam ras,2021,0.112,3161.58
Pasaman,Sumatera Barat,Daging ayam ras,2021,0.103,2886.83
Solok Selatan,Sumatera Barat,Daging ayam ras,2021,0.138,4457.12
Dharmasraya,Sumatera Barat,Daging ayam ras,2021,0.136,4439.14
Pasaman Barat,Sumatera Barat,Daging ayam ras,2021,0.101,2656.1
Kota Padang,Sumatera Barat,Daging ayam ras,2021,0.16,4494.04
Kota Solok,Sumatera Barat,Daging ayam ras,2021,0.16,5226.79
Kota Sawah Lunto,Sumatera Barat,Daging ayam ras,2021,0.206,5713.36
Kota Padang Panjang,Sumatera Barat,Daging ayam ras,2021,0.162,5139.63
Kota Bukittinggi,Sumatera Barat,Daging ayam ras,2021,0.205,6805.43
Kota Payakumbuh,Sumatera Barat,Daging ayam ras,2021,0.128,3927
Kota Pariaman,Sumatera Barat,Daging ayam ras,2021,0.141,3797.49
Kuantan Singingi,Riau,Daging ayam ras,2021,0.171,5142.88
Indragiri Hulu,Riau,Daging ayam ras,2021,0.152,4851.51
Indragiri Hilir,Riau,Daging ayam ras,2021,0.104,3698.7
Pelalawan,Riau,Daging ayam ras,2021,0.181,4889.2
Siak,Riau,Daging ayam ras,2021,0.216,6092.83
Kampar,Riau,Daging ayam ras,2021,0.21,5257.78
Rokan Hulu,Riau,Daging ayam ras,2021,0.15,4611.86
Bengkalis,Riau,Daging ayam ras,2021,0.165,4582.15
Rokan Hilir,Riau,Daging ayam ras,2021,0.122,3746.47
Kepulauan Meranti,Riau,Daging ayam ras,2021,0.096,3492.37
Kota Pekanbaru,Riau,Daging ayam ras,2021,0.213,5857.91
Kota Dumai,Riau,Daging ayam ras,2021,0.155,4295.23
Kerinci,Jambi,Daging ayam ras,2021,0.131,4637.44
Merangin,Jambi,Daging ayam ras,2021,0.134,4694.96
Sarolangun,Jambi,Daging ayam ras,2021,0.12,3910.17
Batang Hari,Jambi,Daging ayam ras,2021,0.16,4682.86
Muaro Jambi,Jambi,Daging ayam ras,2021,0.181,5251.76
Tanjung Jabung Timur,Jambi,Daging ayam ras,2021,0.122,4081.51
Tanjung Jabung Barat,Jambi,Daging ayam ras,2021,0.157,4836.42
Tebo,Jambi,Daging ayam ras,2021,0.117,3599.81
Bungo,Jambi,Daging ayam ras,2021,0.135,4012.28
Kota Jambi,Jambi,Daging ayam ras,2021,0.204,6430.16
Kota Sungai Penuh,Jambi,Daging ayam ras,2021,0.106,3873.54
Ogan Komering Ulu,Sumatera Selatan,Daging ayam ras,2021,0.109,3239.45
Ogan Komering Ilir,Sumatera Selatan,Daging ayam ras,2021,0.109,3413.54
Muara Enim,Sumatera Selatan,Daging ayam ras,2021,0.138,4067.16
Lahat,Sumatera Selatan,Daging ayam ras,2021,0.121,3403.56
Musi Rawas,Sumatera Selatan,Daging ayam ras,2021,0.101,2733.15
Musi Banyuasin,Sumatera Selatan,Daging ayam ras,2021,0.152,4736.1
Banyu Asin,Sumatera Selatan,Daging ayam ras,2021,0.155,4533.63
Ogan Komering Ulu Selatan,Sumatera Selatan,Daging ayam ras,2021,0.077,2624.07
Ogan Komering Ulu Timur,Sumatera Selatan,Daging ayam ras,2021,0.06,1576.21
Ogan Ilir,Sumatera Selatan,Daging ayam ras,2021,0.109,3425.33
Empat Lawang,Sumatera Selatan,Daging ayam ras,2021,0.074,2254.74
Penukal Abab Lematang Ilir,Sumatera Selatan,Daging ayam ras,2021,0.116,3055.22
Musi Rawas Utara,Sumatera Selatan,Daging ayam ras,2021,0.133,3968.07
Kota Palembang,Sumatera Selatan,Daging ayam ras,2021,0.184,5200.94
Kota Prabumulih,Sumatera Selatan,Daging ayam ras,2021,0.147,3754.63
Kota Pagar Alam,Sumatera Selatan,Daging ayam ras,2021,0.124,4477.35
Kota Lubuklinggau,Sumatera Selatan,Daging ayam ras,2021,0.156,4288.77
Bengkulu Selatan,Bengkulu,Daging ayam ras,2021,0.108,4518.25
Rejang Lebong,Bengkulu,Daging ayam ras,2021,0.103,3420.69
Bengkulu Utara,Bengkulu,Daging ayam ras,2021,0.103,3453.64
Kaur,Bengkulu,Daging ayam ras,2021,0.102,3727.17
Seluma,Bengkulu,Daging ayam ras,2021,0.097,3162.64
Mukomuko,Bengkulu,Daging ayam ras,2021,0.103,3537.16
Lebong,Bengkulu,Daging ayam ras,2021,0.083,2686.45
Kepahiang,Bengkulu,Daging ayam ras,2021,0.078,2840.02
Bengkulu Tengah,Bengkulu,Daging ayam ras,2021,0.133,4250.98
Kota Bengkulu,Bengkulu,Daging ayam ras,2021,0.169,5487.71
Lampung Barat,Lampung,Daging ayam ras,2021,0.054,2223.61
Tanggamus,Lampung,Daging ayam ras,2021,0.056,1672.15
Lampung Selatan,Lampung,Daging ayam ras,2021,0.078,2291.69
Lampung Timur,Lampung,Daging ayam ras,2021,0.065,1865.81
Lampung Tengah,Lampung,Daging ayam ras,2021,0.066,1891.49
Lampung Utara,Lampung,Daging ayam ras,2021,0.054,1707.08
Way Kanan,Lampung,Daging ayam ras,2021,0.056,1928.87
Tulangbawang,Lampung,Daging ayam ras,2021,0.056,1532.5
Pesawaran,Lampung,Daging ayam ras,2021,0.059,1434.54
Pringsewu,Lampung,Daging ayam ras,2021,0.054,1429.32
Mesuji,Lampung,Daging ayam ras,2021,0.053,1513.89
Tulang Bawang Barat,Lampung,Daging ayam ras,2021,0.069,1910.02
Pesisir Barat,Lampung,Daging ayam ras,2021,0.068,2170.2
Kota Bandar Lampung,Lampung,Daging ayam ras,2021,0.154,4594.98
Kota Metro,Lampung,Daging ayam ras,2021,0.112,3706.58
Bangka,Bangka Belitung,Daging ayam ras,2021,0.182,6625.08
Belitung,Bangka Belitung,Daging ayam ras,2021,0.177,7016.27
Bangka Barat,Bangka Belitung,Daging ayam ras,2021,0.127,4411.49
Bangka Tengah,Bangka Belitung,Daging ayam ras,2021,0.179,6681.92
Bangka Selatan,Bangka Belitung,Daging ayam ras,2021,0.165,6027.86
Belitung Timur,Bangka Belitung,Daging ayam ras,2021,0.183,7942.76
Kota Pangkal Pinang,Bangka Belitung,Daging ayam ras,2021,0.232,8375.51
Karimun,Kepulauan Riau,Daging ayam ras,2021,0.187,6231.06
Bintan,Kepulauan Riau,Daging ayam ras,2021,0.182,6018
Natuna,Kepulauan Riau,Daging ayam ras,2021,0.084,3170.07
Lingga,Kepulauan Riau,Daging ayam ras,2021,0.127,4027.72
Kepulauan Anambas,Kepulauan Riau,Daging ayam ras,2021,0.113,4460.07
Kota Batam,Kepulauan Riau,Daging ayam ras,2021,0.252,8308
Kota Tanjung Pinang,Kepulauan Riau,Daging ayam ras,2021,0.225,7943.6
Kep. Seribu,DKI Jakarta,Daging ayam ras,2021,0.13,4996.47
Kota Jakarta Selatan,DKI Jakarta,Daging ayam ras,2021,0.207,8782.07
Kota Jakarta Timur,DKI Jakarta,Daging ayam ras,2021,0.206,7660.08
Kota Jakarta Pusat,DKI Jakarta,Daging ayam ras,2021,0.21,6620.6
Kota Jakarta Barat,DKI Jakarta,Daging ayam ras,2021,0.184,6451.97
Kota Jakarta Utara,DKI Jakarta,Daging ayam ras,2021,0.175,5852
Bogor,Jawa Barat,Daging ayam ras,2021,0.149,4692.26
Sukabumi,Jawa Barat,Daging ayam ras,2021,0.171,4774.49
Cianjur,Jawa Barat,Daging ayam ras,2021,0.133,4205.75
Bandung,Jawa Barat,Daging ayam ras,2021,0.183,5474.51
Garut,Jawa Barat,Daging ayam ras,2021,0.138,4620.12
Tasikmalaya,Jawa Barat,Daging ayam ras,2021,0.119,3830.21
Ciamis,Jawa Barat,Daging ayam ras,2021,0.146,4098.68
Kuningan,Jawa Barat,Daging ayam ras,2021,0.153,5279.73
Cirebon,Jawa Barat,Daging ayam ras,2021,0.136,4204.54
Majalengka,Jawa Barat,Daging ayam ras,2021,0.121,5009.94
Sumedang,Jawa Barat,Daging ayam ras,2021,0.148,4923.03
Indramayu,Jawa Barat,Daging ayam ras,2021,0.151,4663.9
Subang,Jawa Barat,Daging ayam ras,2021,0.134,3799.39
Purwakarta,Jawa Barat,Daging ayam ras,2021,0.171,5448.23
Karawang,Jawa Barat,Daging ayam ras,2021,0.149,4121.43
Bekasi,Jawa Barat,Daging ayam ras,2021,0.158,5159.35
Bandung Barat,Jawa Barat,Daging ayam ras,2021,0.17,5407.32
Pangandaran,Jawa Barat,Daging ayam ras,2021,0.134,3565.89
Kota Bogor,Jawa Barat,Daging ayam ras,2021,0.192,7616.01
Kota Sukabumi,Jawa Barat,Daging ayam ras,2021,0.181,5691.43
Kota Bandung,Jawa Barat,Daging ayam ras,2021,0.212,8469.77
Kota Cirebon,Jawa Barat,Daging ayam ras,2021,0.145,4627.52
Kota Bekasi,Jawa Barat,Daging ayam ras,2021,0.221,7881.77
Kota Depok,Jawa Barat,Daging ayam ras,2021,0.197,8468.82
Kota Cimahi,Jawa Barat,Daging ayam ras,2021,0.188,6535.43
Kota Tasikmalaya,Jawa Barat,Daging ayam ras,2021,0.163,4573.41
Kota Banjar,Jawa Barat,Daging ayam ras,2021,0.147,4254.17
Cilacap,Jawa Tengah,Daging ayam ras,2021,0.111,2983.36
Banyumas,Jawa Tengah,Daging ayam ras,2021,0.155,4322.79
Purbalingga,Jawa Tengah,Daging ayam ras,2021,0.091,2819.93
Banjarnegara,Jawa Tengah,Daging ayam ras,2021,0.136,3949.66
Kebumen,Jawa Tengah,Daging ayam ras,2021,0.116,3355.19
Purworejo,Jawa Tengah,Daging ayam ras,2021,0.103,2836.51
Wonosobo,Jawa Tengah,Daging ayam ras,2021,0.108,3081.17
Magelang,Jawa Tengah,Daging ayam ras,2021,0.11,3159.29
Boyolali,Jawa Tengah,Daging ayam ras,2021,0.141,4058.69
Klaten,Jawa Tengah,Daging ayam ras,2021,0.144,4664.43
Sukoharjo,Jawa Tengah,Daging ayam ras,2021,0.141,4803.09
Wonogiri,Jawa Tengah,Daging ayam ras,2021,0.121,3573.77
Karanganyar,Jawa Tengah,Daging ayam ras,2021,0.125,4184.98
Sragen,Jawa Tengah,Daging ayam ras,2021,0.131,4060.91
Grobogan,Jawa Tengah,Daging ayam ras,2021,0.074,2027.97
Blora,Jawa Tengah,Daging ayam ras,2021,0.059,1883.02
Rembang,Jawa Tengah,Daging ayam ras,2021,0.081,2437.35
Pati,Jawa Tengah,Daging ayam ras,2021,0.076,2421.53
Kudus,Jawa Tengah,Daging ayam ras,2021,0.084,2844.51
Jepara,Jawa Tengah,Daging ayam ras,2021,0.098,2978.47
Demak,Jawa Tengah,Daging ayam ras,2021,0.129,3993.33
Semarang,Jawa Tengah,Daging ayam ras,2021,0.133,3830.95
Temanggung,Jawa Tengah,Daging ayam ras,2021,0.093,2451.55
Kendal,Jawa Tengah,Daging ayam ras,2021,0.12,3669
Batang,Jawa Tengah,Daging ayam ras,2021,0.111,3658.07
Pekalongan,Jawa Tengah,Daging ayam ras,2021,0.102,3239.64
Pemalang,Jawa Tengah,Daging ayam ras,2021,0.094,2935.24
Tegal,Jawa Tengah,Daging ayam ras,2021,0.085,3095.62
Brebes,Jawa Tengah,Daging ayam ras,2021,0.095,2903.73
Kota Magelang,Jawa Tengah,Daging ayam ras,2021,0.13,4646.67
Kota Surakarta,Jawa Tengah,Daging ayam ras,2021,0.141,5082.99
Kota Salatiga,Jawa Tengah,Daging ayam ras,2021,0.171,5537.36
Kota Semarang,Jawa Tengah,Daging ayam ras,2021,0.165,5737.47
Kota Pekalongan,Jawa Tengah,Daging ayam ras,2021,0.109,3976.74
Kota Tegal,Jawa Tengah,Daging ayam ras,2021,0.123,4723.78
Kulon Progo,Daerah Istimewa Yogyakarta,Daging ayam ras,2021,0.083,2746.66
Bantul,Daerah Istimewa Yogyakarta,Daging ayam ras,2021,0.137,4728.85
Gunung Kidul,Daerah Istimewa Yogyakarta,Daging ayam ras,2021,0.133,4645.69
Sleman,Daerah Istimewa Yogyakarta,Daging ayam ras,2021,0.146,4702.35
Kota Yogyakarta,Daerah Istimewa Yogyakarta,Daging ayam ras,2021,0.147,5107.29
Pacitan,Jawa Timur,Daging ayam ras,2021,0.083,2624.02
Ponorogo,Jawa Timur,Daging ayam ras,2021,0.075,2346.24
Trenggalek,Jawa Timur,Daging ayam ras,2021,0.066,1845.83
Tulungagung,Jawa Timur,Daging ayam ras,2021,0.123,3457.35
Blitar,Jawa Timur,Daging ayam ras,2021,0.086,2510.77
Kediri,Jawa Timur,Daging ayam ras,2021,0.119,3253.09
Malang,Jawa Timur,Daging ayam ras,2021,0.09,2997.51
Lumajang,Jawa Timur,Daging ayam ras,2021,0.123,3428.9
Jember,Jawa Timur,Daging ayam ras,2021,0.097,2930.03
Banyuwangi,Jawa Timur,Daging ayam ras,2021,0.087,2681.35
Bondowoso,Jawa Timur,Daging ayam ras,2021,0.086,2719.81
Situbondo,Jawa Timur,Daging ayam ras,2021,0.076,2353.67
Probolinggo,Jawa Timur,Daging ayam ras,2021,0.094,3135.72
Pasuruan,Jawa Timur,Daging ayam ras,2021,0.099,3450.68
Sidoarjo,Jawa Timur,Daging ayam ras,2021,0.147,5088.94
Mojokerto,Jawa Timur,Daging ayam ras,2021,0.101,3297.67
Jombang,Jawa Timur,Daging ayam ras,2021,0.106,3111.69
Nganjuk,Jawa Timur,Daging ayam ras,2021,0.1,3306.04
Madiun,Jawa Timur,Daging ayam ras,2021,0.1,2790.35
Magetan,Jawa Timur,Daging ayam ras,2021,0.121,3804.9
Ngawi,Jawa Timur,Daging ayam ras,2021,0.116,3593.33
Bojonegoro,Jawa Timur,Daging ayam ras,2021,0.075,2668.65
Tuban,Jawa Timur,Daging ayam ras,2021,0.074,2563.69
Lamongan,Jawa Timur,Daging ayam ras,2021,0.12,3813.47
Gresik,Jawa Timur,Daging ayam ras,2021,0.142,4925.27
Bangkalan,Jawa Timur,Daging ayam ras,2021,0.063,2186.47
Sampang,Jawa Timur,Daging ayam ras,2021,0.058,2140.35
Pamekasan,Jawa Timur,Daging ayam ras,2021,0.052,1788.56
Sumenep,Jawa Timur,Daging ayam ras,2021,0.08,2609
Kota Kediri,Jawa Timur,Daging ayam ras,2021,0.159,4784.48
Kota Blitar,Jawa Timur,Daging ayam ras,2021,0.131,3957.97
Kota Malang,Jawa Timur,Daging ayam ras,2021,0.152,5218.03
Kota Probolinggo,Jawa Timur,Daging ayam ras,2021,0.103,3260.63
Kota Pasuruan,Jawa Timur,Daging ayam ras,2021,0.103,3763.15
Kota Mojokerto,Jawa Timur,Daging ayam ras,2021,0.164,5493
Kota Madiun,Jawa Timur,Daging ayam ras,2021,0.145,4353.84
Kota Surabaya,Jawa Timur,Daging ayam ras,2021,0.178,6254.18
Kota Batu,Jawa Timur,Daging ayam ras,2021,0.145,4788.93
Pandeglang,Banten,Daging ayam ras,2021,0.106,3146.64
Lebak,Banten,Daging ayam ras,2021,0.161,4610.08
Tangerang,Banten,Daging ayam ras,2021,0.168,5360.02
Serang,Banten,Daging ayam ras,2021,0.119,3896.46
Kota Tangerang,Banten,Daging ayam ras,2021,0.209,7585.8
Kota Cilegon,Banten,Daging ayam ras,2021,0.184,6326.31
Kota Serang,Banten,Daging ayam ras,2021,0.156,4915.19
Kota Tangerang Selatan,Banten,Daging ayam ras,2021,0.221,8209.3
Jembrana,Bali,Daging ayam ras,2021,0.184,5733.52
Tabanan,Bali,Daging ayam ras,2021,0.217,7709.16
Badung,Bali,Daging ayam ras,2021,0.207,7205.17
Gianyar,Bali,Daging ayam ras,2021,0.19,7337.03
Klungkung,Bali,Daging ayam ras,2021,0.13,4911.3
Bangli,Bali,Daging ayam ras,2021,0.195,7398.38
Karangasem,Bali,Daging ayam ras,2021,0.117,3546.82
Buleleng,Bali,Daging ayam ras,2021,0.137,5981.58
