Kabupaten_Kota,Provinsi,Jenis_Daging,Tahun,Konsumsi_per_Minggu_dalam_Kg,Pengeluaran_per_Minggu_dalam_IDR,Kategori_Konsumsi,Kategori_Pengeluaran
Pidie Jaya,Aceh,Daging sapi,2024,0.001,89,Low,Low
Kota Banda Aceh,Aceh,Daging sapi,2024,0.016,2826,Medium,High
Kota Sabang,Aceh,Daging sapi,2024,0.006,1023,Low,Medium
Kota Langsa,Aceh,Daging sapi,2024,0.003,472,Low,Low
Kota Lhokseumawe,Aceh,Daging sapi,2024,0.005,866,Low,Medium
Kota Subulussalam,Aceh,Daging sapi,2024,0.001,100,Low,Low
Nias,Sumatera Utara,Daging sapi,2024,,25,Unknown,Low
Mandailing Natal,Sumatera Utara,Daging sapi,2024,0.003,348,Low,Low
Tapanuli Selatan,Sumatera Utara,Daging sapi,2024,0.001,115,Low,Low
Tapanuli Tengah,Sumatera Utara,Daging sapi,2024,,,Unknown,Unknown
Tapanuli Utara,Sumatera Utara,Daging sapi,2024,,1,Unknown,Low
Toba Samosir,Sumatera Utara,Daging sapi,2024,,27,Unknown,Low
Labuhan Batu,Sumatera Utara,Daging sapi,2024,0.002,324,Low,Low
Asahan,Sumatera Utara,Daging sapi,2024,0.003,363,Low,Low
Simalungun,Sumatera Utara,Daging sapi,2024,0.001,106,Low,Low
Dairi,Sumatera Utara,Daging sapi,2024,0.002,334,Low,Low
Karo,Sumatera Utara,Daging sapi,2024,0.004,509,Low,Low
Deli Serdang,Sumatera Utara,Daging sapi,2024,0.003,400,Low,Low
Langkat,Sumatera Utara,Daging sapi,2024,0.007,811,Low,Medium
Nias Selatan,Sumatera Utara,Daging sapi,2024,0.001,86,Low,Low
Humbang Hasundutan,Sumatera Utara,Daging sapi,2024,0.003,455,Low,Low
Pakpak Bharat,Sumatera Utara,Daging sapi,2024,0.001,157,Low,Low
Samosir,Sumatera Utara,Daging sapi,2024,0.001,113,Low,Low
Serdang Bedagai,Sumatera Utara,Daging sapi,2024,0.006,726,Low,Medium
Batu Bara,Sumatera Utara,Daging sapi,2024,0.002,196,Low,Low
Padang Lawas Utara,Sumatera Utara,Daging sapi,2024,0.003,357,Low,Low
Padang Lawas,Sumatera Utara,Daging sapi,2024,0.004,441,Low,Low
Labuhan Batu Selatan,Sumatera Utara,Daging sapi,2024,0.005,667,Low,Medium
Labuhan Batu Utara,Sumatera Utara,Daging sapi,2024,0.001,105,Low,Low
Nias Utara,Sumatera Utara,Daging sapi,2024,,44,Unknown,Low
Nias Barat,Sumatera Utara,Daging sapi,2024,,,Unknown,Unknown
Kota Sibolga,Sumatera Utara,Daging sapi,2024,0.001,72,Low,Low
Kota Tanjung Balai,Sumatera Utara,Daging sapi,2024,0.003,373,Low,Low
Kota Pematang Siantar,Sumatera Utara,Daging sapi,2024,0.003,375,Low,Low
Kota Tebing Tinggi,Sumatera Utara,Daging sapi,2024,0.005,731,Low,Medium
Kota Medan,Sumatera Utara,Daging sapi,2024,0.006,822,Low,Medium
Kota Binjai,Sumatera Utara,Daging sapi,2024,0.012,1535,Medium,Medium
Kota Padangsidimpuan,Sumatera Utara,Daging sapi,2024,0.005,755,Low,Medium
Kota Gunungsitoli,Sumatera Utara,Daging sapi,2024,0.001,158,Low,Low
Kepulauan Mentawai,Sumatera Barat,Daging sapi,2024,0.002,382,Low,Low
Pesisir Selatan,Sumatera Barat,Daging sapi,2024,,37,Unknown,Low
Solok,Sumatera Barat,Daging sapi,2024,0.007,1122,Low,Medium
Sijunjung,Sumatera Barat,Daging sapi,2024,0.003,488,Low,Low
Tanah Datar,Sumatera Barat,Daging sapi,2024,0.014,2008,Medium,High
Padang Pariaman,Sumatera Barat,Daging sapi,2024,0.009,1264,Medium,Medium
Agam,Sumatera Barat,Daging sapi,2024,0.008,1191,Low,Medium
Lima Puluh Kota,Sumatera Barat,Daging sapi,2024,0.004,675,Low,Medium
Pasaman,Sumatera Barat,Daging sapi,2024,0.003,462,Low,Low
Solok Selatan,Sumatera Barat,Daging sapi,2024,0.003,414,Low,Low
Dharmasraya,Sumatera Barat,Daging sapi,2024,0.004,609,Low,Low
Pasaman Barat,Sumatera Barat,Daging sapi,2024,0.001,110,Low,Low
Kota Padang,Sumatera Barat,Daging sapi,2024,0.009,1514,Medium,Medium
Kota Solok,Sumatera Barat,Daging sapi,2024,0.015,2266,Medium,High
Kota Sawah Lunto,Sumatera Barat,Daging sapi,2024,0.02,2866,Medium,High
Kota Padang Panjang,Sumatera Barat,Daging sapi,2024,0.026,3609,Medium,High
Kota Bukittinggi,Sumatera Barat,Daging sapi,2024,0.018,2572,Medium,High
Kota Payakumbuh,Sumatera Barat,Daging sapi,2024,0.013,1798,Medium,Medium
Kota Pariaman,Sumatera Barat,Daging sapi,2024,0.006,932,Low,Medium
Kuantan Singingi,Riau,Daging sapi,2024,0.005,648,Low,Medium
Indragiri Hulu,Riau,Daging sapi,2024,0.003,447,Low,Low
Indragiri Hilir,Riau,Daging sapi,2024,0.001,208,Low,Low
Pelalawan,Riau,Daging sapi,2024,0.005,843,Low,Medium
Siak,Riau,Daging sapi,2024,0.003,448,Low,Low
Kampar,Riau,Daging sapi,2024,0.003,353,Low,Low
Rokan Hulu,Riau,Daging sapi,2024,0.006,983,Low,Medium
Bengkalis,Riau,Daging sapi,2024,0.006,895,Low,Medium
Rokan Hilir,Riau,Daging sapi,2024,0.001,197,Low,Low
Kepulauan Meranti,Riau,Daging sapi,2024,0.001,215,Low,Low
Kota Pekanbaru,Riau,Daging sapi,2024,0.012,1925,Medium,High
Kota Dumai,Riau,Daging sapi,2024,0.007,959,Low,Medium
Kerinci,Jambi,Daging sapi,2024,0.009,1348,Medium,Medium
Merangin,Jambi,Daging sapi,2024,0.002,230,Low,Low
Sarolangun,Jambi,Daging sapi,2024,0.007,1115,Low,Medium
Batang Hari,Jambi,Daging sapi,2024,0.006,858,Low,Medium
Muaro Jambi,Jambi,Daging sapi,2024,0.011,1565,Medium,Medium
Tanjung Jabung Timur,Jambi,Daging sapi,2024,0.002,213,Low,Low
Tanjung Jabung Barat,Jambi,Daging sapi,2024,0.003,397,Low,Low
Tebo,Jambi,Daging sapi,2024,0.002,366,Low,Low
Bungo,Jambi,Daging sapi,2024,0.008,1049,Low,Medium
Kota Jambi,Jambi,Daging sapi,2024,0.009,1354,Medium,Medium
Kota Sungai Penuh,Jambi,Daging sapi,2024,0.011,1478,Medium,Medium
Ogan Komering Ulu,Sumatera Selatan,Daging sapi,2024,0.007,849,Low,Medium
Ogan Komering Ilir,Sumatera Selatan,Daging sapi,2024,0.004,408,Low,Low
Muara Enim,Sumatera Selatan,Daging sapi,2024,0.005,748,Low,Medium
Lahat,Sumatera Selatan,Daging sapi,2024,0.008,944,Low,Medium
Musi Rawas,Sumatera Selatan,Daging sapi,2024,0.003,425,Low,Low
Musi Banyuasin,Sumatera Selatan,Daging sapi,2024,0.012,1573,Medium,Medium
Banyu Asin,Sumatera Selatan,Daging sapi,2024,0.004,558,Low,Low
Ogan Komering Ulu Selatan,Sumatera Selatan,Daging sapi,2024,0.001,197,Low,Low
Ogan Komering Ulu Timur,Sumatera Selatan,Daging sapi,2024,0.005,604,Low,Low
Ogan Ilir,Sumatera Selatan,Daging sapi,2024,0.002,240,Low,Low
Empat Lawang,Sumatera Selatan,Daging sapi,2024,0.008,1023,Low,Medium
Penukal Abab Lematang Ilir,Sumatera Selatan,Daging sapi,2024,0.007,876,Low,Medium
Musi Rawas Utara,Sumatera Selatan,Daging sapi,2024,0.007,926,Low,Medium
Kota Palembang,Sumatera Selatan,Daging sapi,2024,0.014,1984,Medium,High
Kota Prabumulih,Sumatera Selatan,Daging sapi,2024,0.008,979,Low,Medium
Kota Pagar Alam,Sumatera Selatan,Daging sapi,2024,0.01,1154,Medium,Medium
Kota Lubuklinggau,Sumatera Selatan,Daging sapi,2024,0.006,792,Low,Medium
Bengkulu Selatan,Bengkulu,Daging sapi,2024,0.005,633,Low,Medium
Rejang Lebong,Bengkulu,Daging sapi,2024,0.005,679,Low,Medium
Bengkulu Utara,Bengkulu,Daging sapi,2024,0.007,972,Low,Medium
Kaur,Bengkulu,Daging sapi,2024,0.008,1081,Low,Medium
Seluma,Bengkulu,Daging sapi,2024,,41,Unknown,Low
Mukomuko,Bengkulu,Daging sapi,2024,0.005,737,Low,Medium
Lebong,Bengkulu,Daging sapi,2024,0.006,801,Low,Medium
Kepahiang,Bengkulu,Daging sapi,2024,0.007,1085,Low,Medium
Bengkulu Tengah,Bengkulu,Daging sapi,2024,0.002,334,Low,Low
Kota Bengkulu,Bengkulu,Daging sapi,2024,0.009,1350,Medium,Medium
Lampung Barat,Lampung,Daging sapi,2024,,21,Unknown,Low
Tanggamus,Lampung,Daging sapi,2024,0.004,535,Low,Low
Lampung Selatan,Lampung,Daging sapi,2024,0.002,235,Low,Low
Lampung Timur,Lampung,Daging sapi,2024,0.003,342,Low,Low
Lampung Tengah,Lampung,Daging sapi,2024,0.001,133,Low,Low
Lampung Utara,Lampung,Daging sapi,2024,0.001,145,Low,Low
Way Kanan,Lampung,Daging sapi,2024,,14,Unknown,Low
Tulangbawang,Lampung,Daging sapi,2024,0.001,192,Low,Low
Pesawaran,Lampung,Daging sapi,2024,0.001,167,Low,Low
Pringsewu,Lampung,Daging sapi,2024,0.001,169,Low,Low
Mesuji,Lampung,Daging sapi,2024,0.001,144,Low,Low
Tulang Bawang Barat,Lampung,Daging sapi,2024,,1,Unknown,Low
Pesisir Barat,Lampung,Daging sapi,2024,0.002,234,Low,Low
Kota Bandar Lampung,Lampung,Daging sapi,2024,0.008,1205,Low,Medium
Kota Metro,Lampung,Daging sapi,2024,0.004,535,Low,Low
Bangka,Bangka Belitung,Daging sapi,2024,0.013,1891,Medium,High
Belitung,Bangka Belitung,Daging sapi,2024,0.01,1529,Medium,Medium
Bangka Barat,Bangka Belitung,Daging sapi,2024,0.006,840,Low,Medium
Bangka Tengah,Bangka Belitung,Daging sapi,2024,0.024,3233,Medium,High
Bangka Selatan,Bangka Belitung,Daging sapi,2024,0.019,2748,Medium,High
Belitung Timur,Bangka Belitung,Daging sapi,2024,0.007,1034,Low,Medium
Kota Pangkal Pinang,Bangka Belitung,Daging sapi,2024,0.019,2563,Medium,High
Karimun,Kepulauan Riau,Daging sapi,2024,0.004,392,Low,Low
Bintan,Kepulauan Riau,Daging sapi,2024,0.009,827,Medium,Medium
Natuna,Kepulauan Riau,Daging sapi,2024,0.011,1357,Medium,Medium
Lingga,Kepulauan Riau,Daging sapi,2024,0.001,126,Low,Low
Kepulauan Anambas,Kepulauan Riau,Daging sapi,2024,0.001,175,Low,Low
Kota Batam,Kepulauan Riau,Daging sapi,2024,0.017,2066,Medium,High
Kota Tanjung Pinang,Kepulauan Riau,Daging sapi,2024,0.007,920,Low,Medium
Kep. Seribu,DKI Jakarta,Daging sapi,2024,0.001,114,Low,Low
Kota Jakarta Selatan,DKI Jakarta,Daging sapi,2024,0.035,5080,Medium,High
Kota Jakarta Timur,DKI Jakarta,Daging sapi,2024,0.044,5555,High,High
Kota Jakarta Pusat,DKI Jakarta,Daging sapi,2024,0.029,4299,Medium,High
Kota Jakarta Barat,DKI Jakarta,Daging sapi,2024,0.03,4308,Medium,High
Kota Jakarta Utara,DKI Jakarta,Daging sapi,2024,0.03,4001,Medium,High
Bogor,Jawa Barat,Daging sapi,2024,0.006,905,Low,Medium
Sukabumi,Jawa Barat,Daging sapi,2024,0.006,707,Low,Medium
Cianjur,Jawa Barat,Daging sapi,2024,0.007,879,Low,Medium
Bandung,Jawa Barat,Daging sapi,2024,0.005,672,Low,Medium
Garut,Jawa Barat,Daging sapi,2024,0.004,564,Low,Low
Tasikmalaya,Jawa Barat,Daging sapi,2024,0.005,810,Low,Medium
Ciamis,Jawa Barat,Daging sapi,2024,0.006,865,Low,Medium
Kuningan,Jawa Barat,Daging sapi,2024,0.002,298,Low,Low
Cirebon,Jawa Barat,Daging sapi,2024,0.007,1030,Low,Medium
Majalengka,Jawa Barat,Daging sapi,2024,0.005,712,Low,Medium
Sumedang,Jawa Barat,Daging sapi,2024,0.006,948,Low,Medium
Indramayu,Jawa Barat,Daging sapi,2024,0.008,1136,Low,Medium
Subang,Jawa Barat,Daging sapi,2024,0.007,880,Low,Medium
Purwakarta,Jawa Barat,Daging sapi,2024,0.007,1015,Low,Medium
Karawang,Jawa Barat,Daging sapi,2024,0.006,908,Low,Medium
Bekasi,Jawa Barat,Daging sapi,2024,0.008,1098,Low,Medium
Bandung Barat,Jawa Barat,Daging sapi,2024,0.009,1220,Medium,Medium
Pangandaran,Jawa Barat,Daging sapi,2024,0.005,666,Low,Medium
Kota Bogor,Jawa Barat,Daging sapi,2024,0.013,2425,Medium,High
Kota Sukabumi,Jawa Barat,Daging sapi,2024,0.01,1694,Medium,Medium
Kota Bandung,Jawa Barat,Daging sapi,2024,0.019,3108,Medium,High
Kota Cirebon,Jawa Barat,Daging sapi,2024,0.011,1757,Medium,Medium
Kota Bekasi,Jawa Barat,Daging sapi,2024,0.021,3781,Medium,High
Kota Depok,Jawa Barat,Daging sapi,2024,0.026,4448,Medium,High
Kota Cimahi,Jawa Barat,Daging sapi,2024,0.014,2477,Medium,High
Kota Tasikmalaya,Jawa Barat,Daging sapi,2024,0.011,1747,Medium,Medium
Kota Banjar,Jawa Barat,Daging sapi,2024,0.012,1476,Medium,Medium
Cilacap,Jawa Tengah,Daging sapi,2024,0.002,340,Low,Low
Banyumas,Jawa Tengah,Daging sapi,2024,0.004,606,Low,Low
Purbalingga,Jawa Tengah,Daging sapi,2024,0.001,106,Low,Low
Banjarnegara,Jawa Tengah,Daging sapi,2024,0.004,549,Low,Low
Kebumen,Jawa Tengah,Daging sapi,2024,0.001,204,Low,Low
Purworejo,Jawa Tengah,Daging sapi,2024,0.002,229,Low,Low
Wonosobo,Jawa Tengah,Daging sapi,2024,0.004,510,Low,Low
Magelang,Jawa Tengah,Daging sapi,2024,0.004,555,Low,Low
Boyolali,Jawa Tengah,Daging sapi,2024,0.002,320,Low,Low
Klaten,Jawa Tengah,Daging sapi,2024,0.001,177,Low,Low
Sukoharjo,Jawa Tengah,Daging sapi,2024,0.004,492,Low,Low
Wonogiri,Jawa Tengah,Daging sapi,2024,0.005,620,Low,Medium
Karanganyar,Jawa Tengah,Daging sapi,2024,0.005,682,Low,Medium
Sragen,Jawa Tengah,Daging sapi,2024,0.002,235,Low,Low
Grobogan,Jawa Tengah,Daging sapi,2024,0.002,274,Low,Low
Blora,Jawa Tengah,Daging sapi,2024,0.004,518,Low,Low
Rembang,Jawa Tengah,Daging sapi,2024,0.005,677,Low,Medium
Pati,Jawa Tengah,Daging sapi,2024,0.01,1289,Medium,Medium
Kudus,Jawa Tengah,Daging sapi,2024,0.001,196,Low,Low
Jepara,Jawa Tengah,Daging sapi,2024,0.003,381,Low,Low
Demak,Jawa Tengah,Daging sapi,2024,0.002,274,Low,Low
Semarang,Jawa Tengah,Daging sapi,2024,0.002,324,Low,Low
Temanggung,Jawa Tengah,Daging sapi,2024,0.004,577,Low,Low
Kendal,Jawa Tengah,Daging sapi,2024,0.003,407,Low,Low
Batang,Jawa Tengah,Daging sapi,2024,0.002,321,Low,Low
Pekalongan,Jawa Tengah,Daging sapi,2024,0.005,645,Low,Medium
Pemalang,Jawa Tengah,Daging sapi,2024,0.003,474,Low,Low
Tegal,Jawa Tengah,Daging sapi,2024,0.003,351,Low,Low
Brebes,Jawa Tengah,Daging sapi,2024,0.001,121,Low,Low
Kota Magelang,Jawa Tengah,Daging sapi,2024,0.011,1902,Medium,High
Kota Surakarta,Jawa Tengah,Daging sapi,2024,0.008,1101,Low,Medium
Kota Salatiga,Jawa Tengah,Daging sapi,2024,0.008,1194,Low,Medium
Kota Semarang,Jawa Tengah,Daging sapi,2024,0.011,1867,Medium,Medium
Kota Pekalongan,Jawa Tengah,Daging sapi,2024,0.008,1232,Low,Medium
Kota Tegal,Jawa Tengah,Daging sapi,2024,0.002,256,Low,Low
Kulon Progo,Daerah Istimewa Yogyakarta,Daging sapi,2024,0.001,103,Low,Low
Bantul,Daerah Istimewa Yogyakarta,Daging sapi,2024,0.004,477,Low,Low
Gunung Kidul,Daerah Istimewa Yogyakarta,Daging sapi,2024,0.002,341,Low,Low
Sleman,Daerah Istimewa Yogyakarta,Daging sapi,2024,0.005,736,Low,Medium
Kota Yogyakarta,Daerah Istimewa Yogyakarta,Daging sapi,2024,0.009,1467,Medium,Medium
Pacitan,Jawa Timur,Daging sapi,2024,0.001,182,Low,Low
Ponorogo,Jawa Timur,Daging sapi,2024,0.007,871,Low,Medium
Trenggalek,Jawa Timur,Daging sapi,2024,0.003,402,Low,Low
Tulungagung,Jawa Timur,Daging sapi,2024,0.004,531,Low,Low
Blitar,Jawa Timur,Daging sapi,2024,0.005,588,Low,Low
Kediri,Jawa Timur,Daging sapi,2024,0.006,656,Low,Medium
Malang,Jawa Timur,Daging sapi,2024,0.011,1356,Medium,Medium
Lumajang,Jawa Timur,Daging sapi,2024,0.021,2302,Medium,High
Jember,Jawa Timur,Daging sapi,2024,0.008,1068,Low,Medium
Banyuwangi,Jawa Timur,Daging sapi,2024,0.01,1241,Medium,Medium
Bondowoso,Jawa Timur,Daging sapi,2024,0.016,1859,Medium,Medium
Situbondo,Jawa Timur,Daging sapi,2024,0.01,1335,Medium,Medium
Probolinggo,Jawa Timur,Daging sapi,2024,0.007,774,Low,Medium
Pasuruan,Jawa Timur,Daging sapi,2024,0.011,1401,Medium,Medium
Sidoarjo,Jawa Timur,Daging sapi,2024,0.033,4006,Medium,High
Mojokerto,Jawa Timur,Daging sapi,2024,0.02,2304,Medium,High
Jombang,Jawa Timur,Daging sapi,2024,0.012,1285,Medium,Medium
Nganjuk,Jawa Timur,Daging sapi,2024,0.007,721,Low,Medium
Madiun,Jawa Timur,Daging sapi,2024,0.002,341,Low,Low
Magetan,Jawa Timur,Daging sapi,2024,0.005,703,Low,Medium
Ngawi,Jawa Timur,Daging sapi,2024,0.002,267,Low,Low
Bojonegoro,Jawa Timur,Daging sapi,2024,0.012,1355,Medium,Medium
Tuban,Jawa Timur,Daging sapi,2024,0.014,1738,Medium,Medium
Lamongan,Jawa Timur,Daging sapi,2024,0.016,1662,Medium,Medium
Gresik,Jawa Timur,Daging sapi,2024,0.024,2944,Medium,High
Bangkalan,Jawa Timur,Daging sapi,2024,0.014,1398,Medium,Medium
Sampang,Jawa Timur,Daging sapi,2024,0.006,679,Low,Medium
Pamekasan,Jawa Timur,Daging sapi,2024,0.011,1220,Medium,Medium
Sumenep,Jawa Timur,Daging sapi,2024,0.019,2305,Medium,High
Kota Kediri,Jawa Timur,Daging sapi,2024,0.012,1402,Medium,Medium
Kota Blitar,Jawa Timur,Daging sapi,2024,0.005,610,Low,Low
Kota Malang,Jawa Timur,Daging sapi,2024,0.027,3658,Medium,High
Kota Probolinggo,Jawa Timur,Daging sapi,2024,0.013,1532,Medium,Medium
Kota Pasuruan,Jawa Timur,Daging sapi,2024,0.016,2247,Medium,High
Kota Mojokerto,Jawa Timur,Daging sapi,2024,0.026,3361,Medium,High
Kota Madiun,Jawa Timur,Daging sapi,2024,0.018,2412,Medium,High
Kota Surabaya,Jawa Timur,Daging sapi,2024,0.035,4341,Medium,High
Kota Batu,Jawa Timur,Daging sapi,2024,0.022,2792,Medium,High
Pandeglang,Banten,Daging sapi,2024,,31,Unknown,Low
Lebak,Banten,Daging sapi,2024,0.001,150,Low,Low
Tangerang,Banten,Daging sapi,2024,0.006,762,Low,Medium
Serang,Banten,Daging sapi,2024,0.003,272,Low,Low
Kota Tangerang,Banten,Daging sapi,2024,0.022,2978,Medium,High
Kota Cilegon,Banten,Daging sapi,2024,0.004,580,Low,Low
Kota Serang,Banten,Daging sapi,2024,0.005,723,Low,Medium
Kota Tangerang Selatan,Banten,Daging sapi,2024,0.034,4919,Medium,High
Jembrana,Bali,Daging sapi,2024,0.002,231,Low,Low
Tabanan,Bali,Daging sapi,2024,0.001,118,Low,Low
Badung,Bali,Daging sapi,2024,0.001,168,Low,Low
Gianyar,Bali,Daging sapi,2024,0.001,171,Low,Low
Klungkung,Bali,Daging sapi,2024,0.001,45,Low,Low
Bangli,Bali,Daging sapi,2024,,,Unknown,Unknown
Karangasem,Bali,Daging sapi,2024,,13,Unknown,Low
Buleleng,Bali,Daging sapi,2024,0.002,211,Low,Low
Kota Denpasar,Bali,Daging sapi,2024,0.004,491,Low,Low
Lombok Barat,Nusa Tenggara Barat,Daging sapi,2024,0.012,1481,Medium,Medium
Lombok Tengah,Nusa Tenggara Barat,Daging sapi,2024,0.012,1421,Medium,Medium
Lombok Timur,Nusa Tenggara Barat,Daging sapi,2024,0.016,1971,Medium,High
Sumbawa,Nusa Tenggara Barat,Daging sapi,2024,0.017,2137,Medium,High
Dompu,Nusa Tenggara Barat,Daging sapi,2024,0.013,1503,Medium,Medium
Bima,Nusa Tenggara Barat,Daging sapi,2024,0.006,752,Low,Medium
Sumbawa Barat,Nusa Tenggara Barat,Daging sapi,2024,0.023,3121,Medium,High
Lombok Utara,Nusa Tenggara Barat,Daging sapi,2024,0.032,3866,Medium,High
Kota Mataram,Nusa Tenggara Barat,Daging sapi,2024,0.023,3120,Medium,High
Kota Bima,Nusa Tenggara Barat,Daging sapi,2024,0.012,1454,Medium,Medium
Sumba Barat,Nusa Tenggara Timur,Daging sapi,2024,0.005,572,Low,Low
Sumba Timur,Nusa Tenggara Timur,Daging sapi,2024,0.01,899,Medium,Medium
Kupang,Nusa Tenggara Timur,Daging sapi,2024,0.013,1270,Medium,Medium
Timor Tengah Selatan,Nusa Tenggara Timur,Daging sapi,2024,0.009,871,Medium,Medium
Timor Tengah Utara,Nusa Tenggara Timur,Daging sapi,2024,0.026,2622,Medium,High
Belu,Nusa Tenggara Timur,Daging sapi,2024,0.016,1638,Medium,Medium
Alor,Nusa Tenggara Timur,Daging sapi,2024,0.001,80,Low,Low
Lembata,Nusa Tenggara Timur,Daging sapi,2024,0.002,250,Low,Low
Flores Timur,Nusa Tenggara Timur,Daging sapi,2024,,7,Unknown,Low
Sikka,Nusa Tenggara Timur,Daging sapi,2024,0.004,387,Low,Low
Ende,Nusa Tenggara Timur,Daging sapi,2024,0.003,332,Low,Low
Ngada,Nusa Tenggara Timur,Daging sapi,2024,0.003,378,Low,Low
Manggarai,Nusa Tenggara Timur,Daging sapi,2024,0.001,136,Low,Low
Rote Ndao,Nusa Tenggara Timur,Daging sapi,2024,0.008,690,Low,Medium
Manggarai Barat,Nusa Tenggara Timur,Daging sapi,2024,0.001,122,Low,Low
Sumba Tengah,Nusa Tenggara Timur,Daging sapi,2024,0.003,248,Low,Low
Sumba Barat Daya,Nusa Tenggara Timur,Daging sapi,2024,0.006,868,Low,Medium
Nagekeo,Nusa Tenggara Timur,Daging sapi,2024,0.004,440,Low,Low
Manggarai Timur,Nusa Tenggara Timur,Daging sapi,2024,0.006,763,Low,Medium
Sabu Raijua,Nusa Tenggara Timur,Daging sapi,2024,0.015,1616,Medium,Medium
Malaka,Nusa Tenggara Timur,Daging sapi,2024,0.017,1747,Medium,Medium
Kota Kupang,Nusa Tenggara Timur,Daging sapi,2024,0.007,734,Low,Medium
Sambas,Kalimantan Barat,Daging sapi,2024,0.003,348,Low,Low
Bengkayang,Kalimantan Barat,Daging sapi,2024,0.001,159,Low,Low
Landak,Kalimantan Barat,Daging sapi,2024,0.003,485,Low,Low
Mempawah,Kalimantan Barat,Daging sapi,2024,0.003,397,Low,Low
Sanggau,Kalimantan Barat,Daging sapi,2024,0.003,497,Low,Low
Ketapang,Kalimantan Barat,Daging sapi,2024,0.005,707,Low,Medium
Sintang,Kalimantan Barat,Daging sapi,2024,0.007,1014,Low,Medium
Kapuas Hulu,Kalimantan Barat,Daging sapi,2024,0.015,2058,Medium,High
Sekadau,Kalimantan Barat,Daging sapi,2024,0.009,1271,Medium,Medium
Melawi,Kalimantan Barat,Daging sapi,2024,0.019,2912,Medium,High
Kayong Utara,Kalimantan Barat,Daging sapi,2024,0.005,757,Low,Medium
Kubu Raya,Kalimantan Barat,Daging sapi,2024,0.004,580,Low,Low
Kota Pontianak,Kalimantan Barat,Daging sapi,2024,0.016,2370,Medium,High
Kota Singkawang,Kalimantan Barat,Daging sapi,2024,0.005,628,Low,Medium
Kotawaringin Barat,Kalimantan Tengah,Daging sapi,2024,0.005,764,Low,Medium
Kotawaringin Timur,Kalimantan Tengah,Daging sapi,2024,0.003,470,Low,Low
Kapuas,Kalimantan Tengah,Daging sapi,2024,0.002,307,Low,Low
Barito Selatan,Kalimantan Tengah,Daging sapi,2024,0.003,440,Low,Low
Barito Utara,Kalimantan Tengah,Daging sapi,2024,0.006,939,Low,Medium
Sukamara,Kalimantan Tengah,Daging sapi,2024,0.006,908,Low,Medium
Lamandau,Kalimantan Tengah,Daging sapi,2024,0.007,876,Low,Medium
Seruyan,Kalimantan Tengah,Daging sapi,2024,0.005,805,Low,Medium
Katingan,Kalimantan Tengah,Daging sapi,2024,0.003,366,Low,Low
Pulang Pisau,Kalimantan Tengah,Daging sapi,2024,0.001,140,Low,Low
Gunung Mas,Kalimantan Tengah,Daging sapi,2024,0.001,101,Low,Low
Barito Timur,Kalimantan Tengah,Daging sapi,2024,0.002,332,Low,Low
Murung Raya,Kalimantan Tengah,Daging sapi,2024,0.002,318,Low,Low
Kota Palangka Raya,Kalimantan Tengah,Daging sapi,2024,0.01,1363,Medium,Medium
Tanah Laut,Kalimantan Selatan,Daging sapi,2024,0.003,354,Low,Low
Kota Baru,Kalimantan Selatan,Daging sapi,2024,0.001,187,Low,Low
Banjar,Kalimantan Selatan,Daging sapi,2024,0.003,431,Low,Low
Barito Kuala,Kalimantan Selatan,Daging sapi,2024,0.003,373,Low,Low
Tapin,Kalimantan Selatan,Daging sapi,2024,0.004,559,Low,Low
Hulu Sungai Selatan,Kalimantan Selatan,Daging sapi,2024,,60,Unknown,Low
Hulu Sungai Tengah,Kalimantan Selatan,Daging sapi,2024,0.001,233,Low,Low
Hulu Sungai Utara,Kalimantan Selatan,Daging sapi,2024,0.003,416,Low,Low
Tabalong,Kalimantan Selatan,Daging sapi,2024,0.011,1502,Medium,Medium
Tanah Bumbu,Kalimantan Selatan,Daging sapi,2024,0.005,775,Low,Medium
Balangan,Kalimantan Selatan,Daging sapi,2024,0.004,496,Low,Low
Kota Banjarmasin,Kalimantan Selatan,Daging sapi,2024,0.008,979,Low,Medium
Kota Banjar Baru,Kalimantan Selatan,Daging sapi,2024,0.006,854,Low,Medium
Paser,Kalimantan Timur,Daging sapi,2024,0.007,868,Low,Medium
Kutai Barat,Kalimantan Timur,Daging sapi,2024,0.003,497,Low,Low
Kutai Kartanegara,Kalimantan Timur,Daging sapi,2024,0.015,2197,Medium,High
Kutai Timur,Kalimantan Timur,Daging sapi,2024,0.015,2054,Medium,High
Berau,Kalimantan Timur,Daging sapi,2024,0.013,2018,Medium,High
Penajam Paser Utara,Kalimantan Timur,Daging sapi,2024,0.002,306,Low,Low
Mahakam Ulu,Kalimantan Timur,Daging sapi,2024,0.005,686,Low,Medium
Kota Balikpapan,Kalimantan Timur,Daging sapi,2024,0.009,1374,Medium,Medium
Kota Samarinda,Kalimantan Timur,Daging sapi,2024,0.012,1669,Medium,Medium
Kota Bontang,Kalimantan Timur,Daging sapi,2024,0.005,801,Low,Medium
Malinau,Kalimantan Utara,Daging sapi,2024,0.001,169,Low,Low
Bulungan,Kalimantan Utara,Daging sapi,2024,0.002,329,Low,Low
Tana Tidung,Kalimantan Utara,Daging sapi,2024,0.001,192,Low,Low
Nunukan,Kalimantan Utara,Daging sapi,2024,0.002,211,Low,Low
Kota Tarakan,Kalimantan Utara,Daging sapi,2024,0.007,653,Low,Medium
